Day,DailySteps
8/21/2017,5622
8/22/2017,3902
8/23/2017,4240
8/24/2017,4374
8/25/2017,5306
8/26/2017,1185
8/27/2017,2261
8/28/2017,3711
8/29/2017,5082
8/30/2017,5942
8/31/2017,4248
9/1/2017,3695
9/2/2017,2070
9/3/2017,536
9/4/2017,1184
9/5/2017,3995
9/6/2017,4009
9/7/2017,4778
9/8/2017,4987
9/9/2017,6576
9/10/2017,5199
9/11/2017,2947
9/12/2017,5477
9/13/2017,5678
9/14/2017,3177
9/15/2017,10057
9/16/2017,8995
9/17/2017,3304
9/18/2017,7076
9/19/2017,3605
9/20/2017,2857
9/21/2017,2697
9/22/2017,3563
9/23/2017,5594
9/24/2017,1095
9/25/2017,3467
9/26/2017,4871
9/27/2017,3360
9/28/2017,4312
9/29/2017,1619
9/30/2017,6084
10/1/2017,708
10/2/2017,4350
10/3/2017,4788
10/4/2017,3902
10/5/2017,2846
10/6/2017,6425
10/7/2017,1986
10/8/2017,7044
10/9/2017,2567
10/10/2017,4734
10/11/2017,3045
10/12/2017,12132
10/13/2017,5271
10/14/2017,4392
10/15/2017,1428
10/16/2017,4728
10/17/2017,9090
10/18/2017,2923
10/19/2017,4403
10/20/2017,9247
10/21/2017,1933
10/22/2017,3968
10/23/2017,4434
10/24/2017,5152
10/25/2017,7846
10/26/2017,3546
10/27/2017,7391
10/28/2017,2060
10/29/2017,1251
10/30/2017,3892
10/31/2017,3620
11/1/2017,4194
11/7/2017,24006
11/8/2017,3641
11/9/2017,5211
11/10/2017,2345
11/11/2017,1061
11/12/2017,1632
11/13/2017,3890
11/14/2017,3829
11/15/2017,2080
11/16/2017,3322
11/17/2017,4398
11/18/2017,866
11/19/2017,1080
11/20/2017,1976
11/21/2017,6971
11/22/2017,1855
11/23/2017,2003
11/24/2017,1506
11/25/2017,2356
11/26/2017,1521
11/27/2017,4143
11/28/2017,4106
11/29/2017,4578
11/30/2017,4937
12/1/2017,3581
12/2/2017,2860
12/3/2017,991
12/4/2017,3793
12/5/2017,4469
12/6/2017,4202
12/7/2017,5146
12/8/2017,5261
12/9/2017,4623
12/10/2017,1791
12/11/2017,4200
12/12/2017,6163
12/13/2017,3632
12/14/2017,6300
12/15/2017,4722
12/16/2017,3219
12/17/2017,1912
12/18/2017,4797
12/19/2017,4779
12/20/2017,4538
12/21/2017,5856
12/22/2017,2563
12/23/2017,1582
12/24/2017,1875
12/25/2017,2367
12/26/2017,1892
12/27/2017,2224
12/28/2017,2013
12/29/2017,743
12/30/2017,1233
12/31/2017,1629
1/1/2018,1515
1/2/2018,5964
1/3/2018,2080
1/4/2018,4523
1/5/2018,5436
1/6/2018,2400
1/7/2018,1386
1/8/2018,5182
1/9/2018,4487
1/10/2018,5888
1/11/2018,3753
1/12/2018,4041
1/13/2018,8034
1/14/2018,1374
1/15/2018,4760
1/16/2018,4682
1/17/2018,5003
1/18/2018,5125
1/19/2018,3831
1/20/2018,2599
1/21/2018,1431
1/22/2018,851
1/23/2018,5257
1/24/2018,4725
1/25/2018,3972
1/26/2018,4457
1/27/2018,3326
1/28/2018,819
1/29/2018,5003
1/30/2018,6069
1/31/2018,4814
2/1/2018,4184
2/2/2018,4086
2/3/2018,3142
2/4/2018,2523
2/5/2018,4204
2/6/2018,2915
2/7/2018,4259
2/8/2018,5134
2/9/2018,3825
2/10/2018,4110
2/11/2018,1999
2/12/2018,4950
2/13/2018,5666
2/14/2018,7343
2/15/2018,5191
2/16/2018,6266
2/17/2018,1794
2/18/2018,972
2/19/2018,4435
2/20/2018,4669
2/21/2018,3877
2/22/2018,5064
2/23/2018,4006
2/24/2018,3533
2/25/2018,3063
2/26/2018,5155
2/27/2018,4708
2/28/2018,9883
3/1/2018,3350
3/2/2018,3307
3/3/2018,1426
3/4/2018,2666
3/5/2018,3149
3/6/2018,4301
3/7/2018,2951
3/8/2018,4106
3/9/2018,5759
3/10/2018,1194
3/11/2018,1220
3/12/2018,4067
3/13/2018,4400
3/14/2018,7998
3/15/2018,3317
3/16/2018,2984
3/17/2018,1310
3/18/2018,1596
3/19/2018,5722
3/20/2018,3026
3/21/2018,3382
3/22/2018,2917
3/23/2018,2375
3/24/2018,4599
3/25/2018,2701
3/26/2018,3887
3/27/2018,3499
3/28/2018,3371
3/29/2018,4673
3/30/2018,7356
3/31/2018,2765
4/1/2018,1823
4/2/2018,1184
4/3/2018,1974
4/4/2018,6653
4/5/2018,3974
4/6/2018,3483
4/7/2018,2261
4/8/2018,990
4/9/2018,4148
4/10/2018,4293
4/11/2018,3866
4/12/2018,4016
4/13/2018,3378
4/14/2018,1955
4/15/2018,1464
4/16/2018,5158
4/17/2018,4246
4/18/2018,3258
4/19/2018,3753
4/20/2018,3668
4/21/2018,1414
4/22/2018,2611
4/23/2018,3980
4/24/2018,4006
4/25/2018,3685
4/26/2018,3760
4/27/2018,3858
4/28/2018,5757
4/29/2018,1697
4/30/2018,3963
5/1/2018,3597
5/2/2018,3493
5/3/2018,3668
5/4/2018,3858
5/5/2018,3287
5/6/2018,7193
5/7/2018,3599
5/8/2018,4305
5/9/2018,4063
5/10/2018,4585
5/11/2018,4268
5/12/2018,4029
5/13/2018,2493
5/14/2018,3302
5/15/2018,2650
5/16/2018,4514
5/17/2018,3920
5/18/2018,8472
5/19/2018,3868
5/20/2018,3782
5/21/2018,4887
5/22/2018,5821
5/23/2018,7872
5/24/2018,5479
5/25/2018,4101
5/26/2018,1968
5/27/2018,11290
5/28/2018,1226
5/29/2018,862
5/30/2018,5336
5/31/2018,2502
6/1/2018,2125
6/2/2018,13274
6/3/2018,1704
6/4/2018,3196
6/5/2018,7988
6/6/2018,2420
6/7/2018,2575
6/8/2018,2691
6/9/2018,3363
6/10/2018,1778
6/11/2018,7499
6/12/2018,1898
6/13/2018,2515
6/14/2018,2115
6/15/2018,3072
6/16/2018,1676
6/17/2018,8068
6/18/2018,5733
6/19/2018,6230
6/20/2018,16021
6/21/2018,7638
6/22/2018,16058
6/23/2018,6288
6/24/2018,2391
6/25/2018,2364
6/26/2018,6134
6/27/2018,3626
6/28/2018,4664
6/29/2018,8967
6/30/2018,1748
7/1/2018,2003
7/2/2018,2912
7/3/2018,4026
7/4/2018,3273
7/5/2018,6608
7/6/2018,5637
7/7/2018,6479
7/8/2018,2239
7/9/2018,4604
7/10/2018,3939
7/11/2018,4867
7/12/2018,6192
7/13/2018,148
7/14/2018,3238
7/15/2018,3017
7/16/2018,2199
7/17/2018,2846
7/18/2018,1835
7/19/2018,4510
7/20/2018,2874
7/21/2018,4261
7/22/2018,2805
7/23/2018,1482
7/24/2018,3107
7/25/2018,6645
7/26/2018,5678
7/27/2018,1670
7/28/2018,924
7/29/2018,6503
7/30/2018,1955
7/31/2018,2073
8/1/2018,6176
8/2/2018,3228
8/3/2018,12109
8/4/2018,7279
8/5/2018,3267
8/6/2018,1861
8/7/2018,4506
8/8/2018,2168
8/9/2018,9659
8/10/2018,5616
8/11/2018,2253
8/12/2018,2493
8/13/2018,2695
8/14/2018,2512
8/15/2018,5956
8/16/2018,6914
8/17/2018,3273
8/18/2018,7091
8/19/2018,1719
8/20/2018,4299
8/21/2018,4645
8/22/2018,4810
8/23/2018,3981
8/24/2018,3301
8/25/2018,2442
8/26/2018,993
8/27/2018,4067
8/28/2018,4769
8/29/2018,1297
8/30/2018,8009
8/31/2018,5557
9/1/2018,5066
9/2/2018,1497
9/3/2018,4507
9/4/2018,3726
9/5/2018,5515
9/6/2018,5634
9/7/2018,5063
9/8/2018,11402
9/9/2018,1337
9/10/2018,7614
9/11/2018,959
9/12/2018,7449
9/13/2018,3918
9/14/2018,4224
9/15/2018,2717
9/16/2018,4375
9/17/2018,6501
9/18/2018,5082
9/19/2018,4858
9/20/2018,4369
9/21/2018,4965
9/22/2018,5454
9/23/2018,590
9/24/2018,1288
9/25/2018,7038
9/26/2018,4282
9/27/2018,5560
9/28/2018,5745
9/29/2018,1212
9/30/2018,881
10/1/2018,5722
10/2/2018,6057
10/3/2018,164
10/4/2018,3456
10/5/2018,998
10/6/2018,5563
10/7/2018,727
10/9/2018,3298
10/11/2018,20376
10/12/2018,1041
10/13/2018,1171
10/14/2018,1704
10/16/2018,13092
10/19/2018,17245
10/20/2018,976
10/27/2018,39089
10/28/2018,155
10/29/2018,2667
10/30/2018,10328
11/2/2018,16165
11/3/2018,193
11/9/2018,24521
11/12/2018,9827
11/16/2018,29845
11/17/2018,2751
11/18/2018,339
11/19/2018,5778
11/20/2018,1721
11/21/2018,2558
11/25/2018,8326
11/26/2018,3913
11/27/2018,5724
11/28/2018,6678
11/29/2018,6318
11/30/2018,4839
12/1/2018,1174
12/2/2018,3944
12/3/2018,4999
12/4/2018,4530
12/5/2018,6170
12/6/2018,5020
12/7/2018,4085
12/8/2018,3688
12/9/2018,2013
12/10/2018,8089
12/11/2018,4548
12/12/2018,4403
12/13/2018,6215
12/14/2018,5726
12/15/2018,3205
12/16/2018,1392
12/17/2018,6277
12/18/2018,4970
12/19/2018,4495
12/20/2018,8904
12/21/2018,6803
12/22/2018,4831
12/23/2018,3337
12/24/2018,3779
12/25/2018,4727
12/26/2018,1582
12/27/2018,1575
