date,dailySteps,season,month,day,double
8/21/2017,5622,summer,8,Monday,
8/30/2017,5942,summer,8,Wednesday,
9/9/2017,6576,fall,9,Saturday,
9/13/2017,5678,fall,9,Wednesday,
9/15/2017,10057,fall,9,Friday,TRUE
9/16/2017,8995,fall,9,Saturday,
9/18/2017,7076,fall,9,Monday,
9/23/2017,5594,fall,9,Saturday,
9/30/2017,6084,fall,9,Saturday,
10/6/2017,6425,fall,10,Friday,
10/8/2017,7044,fall,10,Sunday,
10/12/2017,12132,fall,10,Thursday,
10/17/2017,9090,fall,10,Tuesday,
10/20/2017,9247,fall,10,Friday,
10/25/2017,7846,fall,10,Wednesday,
10/27/2017,7391,fall,10,Friday,
11/7/2017,24006,fall,11,Tuesday,
11/21/2017,6971,fall,11,Tuesday,
12/12/2017,6163,winter,12,Tuesday,
12/14/2017,6300,winter,12,Thursday,
12/21/2017,5856,winter,12,Thursday,
1/2/2018,5964,winter,1,Tuesday,
1/10/2018,5888,winter,1,Wednesday,
1/13/2018,8034,winter,1,Saturday,
1/30/2018,6069,winter,1,Tuesday,
2/13/2018,5666,winter,2,Tuesday,TRUE
2/14/2018,7343,winter,2,Wednesday,
2/16/2018,6266,winter,2,Friday,
2/28/2018,9883,winter,2,Wednesday,
3/9/2018,5759,spring,3,Friday,
3/14/2018,7998,spring,3,Wednesday,
3/19/2018,5722,spring,3,Monday,
3/30/2018,7356,spring,3,Friday,
4/4/2018,6653,spring,4,Wednesday,
4/28/2018,5757,spring,4,Saturday,
5/6/2018,7193,spring,5,Sunday,
5/18/2018,8472,spring,5,Friday,
5/22/2018,5821,spring,5,Tuesday,TRUE
5/23/2018,7872,spring,5,Wednesday,
5/27/2018,11290,spring,5,Sunday,
6/2/2018,13274,summer,6,Saturday,
6/5/2018,7988,summer,6,Tuesday,
6/11/2018,7499,summer,6,Monday,
6/17/2018,8068,summer,6,Sunday,TRUE
6/18/2018,5733,summer,6,Monday,TRUE
6/19/2018,6230,summer,6,Tuesday,TRUE
6/20/2018,16021,summer,6,Wednesday,TRUE
6/21/2018,7638,summer,6,Thursday,TRUE
6/22/2018,16058,summer,6,Friday,TRUE
6/23/2018,6288,summer,6,Saturday,
6/26/2018,6134,summer,6,Tuesday,
6/29/2018,8967,summer,6,Friday,
7/5/2018,6608,summer,7,Thursday,TRUE
7/6/2018,5637,summer,7,Friday,TRUE
7/7/2018,6479,summer,7,Saturday,
7/12/2018,6192,summer,7,Thursday,
7/25/2018,6645,summer,7,Wednesday,TRUE
7/26/2018,5678,summer,7,Thursday,
7/29/2018,6503,summer,7,Sunday,
8/1/2018,6176,summer,8,Wednesday,
8/3/2018,12109,summer,8,Friday,TRUE
8/4/2018,7279,summer,8,Saturday,
8/9/2018,9659,summer,8,Thursday,TRUE
8/10/2018,5616,summer,8,Friday,
8/15/2018,5956,summer,8,Wednesday,TRUE
8/16/2018,6914,summer,8,Thursday,
8/18/2018,7091,summer,8,Saturday,
8/30/2018,8009,summer,8,Thursday,TRUE
8/31/2018,5557,summer,8,Friday,
9/5/2018,5515,fall,9,Wednesday,TRUE
9/6/2018,5634,fall,9,Thursday,
9/8/2018,11402,fall,9,Saturday,
9/10/2018,7614,fall,9,Monday,
9/12/2018,7449,fall,9,Wednesday,
9/17/2018,6501,fall,9,Monday,
9/25/2018,7038,fall,9,Tuesday,
