day,dailySteps
2017-08-21,5622
2017-08-30,5942
2017-09-09,6576
2017-09-13,5678
2017-09-15,10057
2017-09-16,8995
2017-09-18,7076
2017-09-23,5594
2017-09-30,6084
2017-10-06,6425
2017-10-08,7044
2017-10-12,12132
2017-10-17,9090
2017-10-20,9247
2017-10-25,7846
2017-10-27,7391
2017-11-07,24006
2017-11-21,6971
2017-12-12,6163
2017-12-14,6300
2017-12-21,5856
2018-01-02,5964
2018-01-10,5888
2018-01-13,8034
2018-01-30,6069
2018-02-13,5666
2018-02-14,7343
2018-02-16,6266
2018-02-28,9883
2018-03-09,5759
2018-03-14,7998
2018-03-19,5722
2018-03-30,7356
2018-04-04,6653
2018-04-28,5757
2018-05-06,7193
2018-05-18,8472
2018-05-22,5821
2018-05-23,7872
2018-05-27,11290
2018-06-02,13274
2018-06-05,7988
2018-06-11,7499
2018-06-17,8068
2018-06-18,5733
2018-06-19,6230
2018-06-20,16021
2018-06-21,7638
2018-06-22,16058
2018-06-23,6288
2018-06-26,6134
2018-06-29,8967
2018-07-05,6608
2018-07-06,5637
2018-07-07,6479
2018-07-12,6192
2018-07-25,6645
2018-07-26,5678
2018-07-29,6503
2018-08-01,6176
2018-08-03,12109
2018-08-04,7279
2018-08-09,9659
2018-08-10,5616
2018-08-15,5956
2018-08-16,6914
2018-08-18,7091
2018-08-30,8009
2018-08-31,5557
2018-09-05,5515
2018-09-06,5634
2018-09-08,11402
2018-09-10,7614
2018-09-12,7449
2018-09-17,6501
2018-09-25,7038
2018-09-27,5560
2018-09-28,5745
2018-10-01,5722
2018-10-02,6057
2018-10-06,5563
2018-10-11,20376
2018-10-16,13092
2018-10-19,17245
2018-10-27,39089
2018-10-30,10328
2018-11-02,16165
2018-11-09,24521
2018-11-12,9827
2018-11-16,29845
2018-11-19,5778
2018-11-25,8326
2018-11-27,5724
2018-11-28,6678
2018-11-29,6318
2018-12-05,6170
2018-12-10,8089
2018-12-13,6215
2018-12-14,5726
2018-12-17,6277
2018-12-20,8904
2018-12-21,6803
2018-12-31,5876
2019-01-01,5964
2019-01-05,5959
2019-01-07,6151
2019-01-08,6029
2019-01-09,7018
2019-01-10,6473
2019-01-11,5555
2019-01-16,6516
2019-01-17,7422
2019-01-18,5759
2019-01-21,11663
2019-01-22,7786
2019-01-23,5531
2019-01-24,5815
2019-01-27,5912
2019-01-28,6764
2019-01-30,6051
2019-02-01,12019
2019-02-04,5594
2019-02-08,5912
2019-02-12,7027
2019-02-13,7960
2019-02-18,5830
2019-02-21,7260
2019-02-25,5557
2019-02-26,6832
2019-02-28,6842
2019-03-04,6639
2019-03-06,6637
2019-03-07,7590
2019-03-11,8402
2019-03-12,5829
2019-03-13,6971
2019-03-22,8253
2019-03-25,10775
2019-03-26,5589
2019-03-28,6670
2019-03-29,6658
2019-04-01,6969
2019-04-05,5630
2019-04-06,6464
2019-04-08,5919
2019-04-09,5622
2019-04-10,6414
2019-04-12,8192
2019-04-15,6455
2019-04-17,6351
2019-04-18,5919
2019-04-19,5785
2019-04-23,6330
2019-04-24,6191
2019-04-26,10927
2019-04-30,5554
2019-05-01,6106
2019-05-04,6594
2019-05-09,8793
2019-05-10,8799
2019-05-11,9256
2019-05-13,8442
2019-05-14,7019
2019-05-15,7868
2019-05-16,7278
2019-05-17,10025
2019-05-18,11080
2019-05-19,6437
2019-05-22,7389
2019-05-23,8473
2019-05-24,8150
2019-05-25,8552
2019-05-26,7019
2019-05-28,7151
2019-05-29,6162
2019-05-30,9313
2019-05-31,11168
2019-06-01,8022
2019-06-02,9202
2019-06-03,9536
2019-06-04,8479
2019-06-05,6206
2019-06-06,6980
2019-06-08,9098
2019-06-10,8520
2019-06-11,10463
2019-06-12,7206
2019-06-13,9244
2019-06-14,9450
2019-06-17,6831
2019-06-18,8349
2019-06-19,6786
2019-06-20,6031
2019-06-21,8853
2019-06-25,13228
2019-06-26,12390
2019-06-27,10963
2019-06-28,8319
2019-06-29,17587
2019-07-01,7359
2019-07-02,6907
2019-07-03,10466
2019-07-04,8466
2019-07-06,10615
2019-07-07,5870
2019-07-08,8901
2019-07-09,7556
2019-07-10,8826
2019-07-12,7770
2019-07-13,9557
2019-07-14,6625
2019-07-15,8467
2019-07-16,10162
2019-07-17,14621
2019-07-18,12405
2019-07-19,18346
2019-07-20,12624
2019-07-22,7226
2019-07-24,14796
2019-07-25,9142
2019-07-26,9934
2019-07-27,6480
2019-07-30,7177
